dataset,fold,seed,model,graph_variant,auc,acc,rmse,nll,runtime
kdd2010,0,2024,simpleKT,no_graph,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2024,simpleKT,E_pre,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2024,simpleKT,E_pre_E_sim,0.7453,0.7233,N/A,0.5496,N/A
kdd2010,0,2024,simpleKT,E_pre_E_sim_E_co,0.7399,0.7121,N/A,0.5536,N/A
kdd2010,0,2024,GIKT,no_graph,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2024,GIKT,E_pre,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2024,GIKT,E_pre_E_sim,0.7453,0.7233,N/A,0.5496,N/A
kdd2010,0,2024,GIKT,E_pre_E_sim_E_co,0.7399,0.7121,N/A,0.5536,N/A
kdd2010,0,2025,simpleKT,no_graph,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2025,simpleKT,E_pre,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2025,simpleKT,E_pre_E_sim,0.7453,0.7233,N/A,0.5496,N/A
kdd2010,0,2025,simpleKT,E_pre_E_sim_E_co,0.7399,0.7121,N/A,0.5536,N/A
kdd2010,0,2025,GIKT,no_graph,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2025,GIKT,E_pre,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2025,GIKT,E_pre_E_sim,0.7453,0.7233,N/A,0.5496,N/A
kdd2010,0,2025,GIKT,E_pre_E_sim_E_co,0.7399,0.7121,N/A,0.5536,N/A
kdd2010,0,2026,simpleKT,no_graph,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2026,simpleKT,E_pre,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2026,simpleKT,E_pre_E_sim,0.7453,0.7233,N/A,0.5496,N/A
kdd2010,0,2026,simpleKT,E_pre_E_sim_E_co,0.7399,0.7121,N/A,0.5536,N/A
kdd2010,0,2026,GIKT,no_graph,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2026,GIKT,E_pre,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2026,GIKT,E_pre_E_sim,0.7453,0.7233,N/A,0.5496,N/A
kdd2010,0,2026,GIKT,E_pre_E_sim_E_co,0.7399,0.7121,N/A,0.5536,N/A
junyi,0,2024,simpleKT,no_graph,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2024,simpleKT,E_pre,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2024,simpleKT,E_pre_E_sim,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2024,simpleKT,E_pre_E_sim_E_co,0.6076,0.6882,N/A,0.607,N/A
junyi,0,2024,GIKT,no_graph,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2024,GIKT,E_pre,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2024,GIKT,E_pre_E_sim,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2024,GIKT,E_pre_E_sim_E_co,0.6076,0.6882,N/A,0.607,N/A
junyi,0,2025,simpleKT,no_graph,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2025,simpleKT,E_pre,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2025,simpleKT,E_pre_E_sim,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2025,simpleKT,E_pre_E_sim_E_co,0.6076,0.6882,N/A,0.607,N/A
junyi,0,2025,GIKT,no_graph,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2025,GIKT,E_pre,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2025,GIKT,E_pre_E_sim,0.6075,0.6882,N/A,0.607,N/A
