dataset,fold,seed,model,graph_variant,auc,acc,rmse,nll,runtime
kdd2010,0,2024,DKT,no_graph,0.7462,0.7899,N/A,0.5912,N/A
kdd2010,0,2024,DKT,E_pre,0.6884,0.7397,N/A,0.6172,N/A
kdd2010,0,2024,DKT,E_pre_E_sim,0.7156,0.7578,N/A,0.601,N/A
kdd2010,0,2024,DKT,E_pre_E_sim_E_co,0.7085,0.7899,N/A,0.5868,N/A
kdd2010,0,2024,simpleKT,no_graph,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2024,simpleKT,E_pre,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2024,simpleKT,E_pre_E_sim,0.7453,0.7233,N/A,0.5496,N/A
kdd2010,0,2024,simpleKT,E_pre_E_sim_E_co,0.7399,0.7121,N/A,0.5536,N/A
kdd2010,0,2024,GKT,no_graph,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2024,GKT,E_pre,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2024,GKT,E_pre_E_sim,0.7453,0.7233,N/A,0.5496,N/A
kdd2010,0,2024,GKT,E_pre_E_sim_E_co,0.7399,0.7121,N/A,0.5536,N/A
kdd2010,0,2024,GIKT,no_graph,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2024,GIKT,E_pre,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2024,GIKT,E_pre_E_sim,0.7453,0.7233,N/A,0.5496,N/A
kdd2010,0,2024,GIKT,E_pre_E_sim_E_co,0.7399,0.7121,N/A,0.5536,N/A
kdd2010,0,2025,DKT,no_graph,0.7216,0.7638,N/A,0.615,N/A
kdd2010,0,2025,DKT,E_pre,0.7152,0.7859,N/A,0.6018,N/A
kdd2010,0,2025,DKT,E_pre_E_sim,0.737,0.796,N/A,0.5809,N/A
kdd2010,0,2025,DKT,E_pre_E_sim_E_co,0.7271,0.7779,N/A,0.5987,N/A
kdd2010,0,2025,simpleKT,no_graph,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2025,simpleKT,E_pre,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2025,simpleKT,E_pre_E_sim,0.7453,0.7233,N/A,0.5496,N/A
kdd2010,0,2025,simpleKT,E_pre_E_sim_E_co,0.7399,0.7121,N/A,0.5536,N/A
kdd2010,0,2025,GKT,no_graph,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2025,GKT,E_pre,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2025,GKT,E_pre_E_sim,0.7453,0.7233,N/A,0.5496,N/A
kdd2010,0,2025,GKT,E_pre_E_sim_E_co,0.7399,0.7121,N/A,0.5536,N/A
kdd2010,0,2025,GIKT,no_graph,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2025,GIKT,E_pre,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2025,GIKT,E_pre_E_sim,0.7453,0.7233,N/A,0.5496,N/A
kdd2010,0,2025,GIKT,E_pre_E_sim_E_co,0.7399,0.7121,N/A,0.5536,N/A
kdd2010,0,2026,DKT,no_graph,0.7151,0.7558,N/A,0.6073,N/A
kdd2010,0,2026,DKT,E_pre,0.7025,0.7769,N/A,0.6028,N/A
kdd2010,0,2026,DKT,E_pre_E_sim,0.7197,0.7799,N/A,0.6103,N/A
kdd2010,0,2026,DKT,E_pre_E_sim_E_co,0.7226,0.7608,N/A,0.6039,N/A
kdd2010,0,2026,simpleKT,no_graph,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2026,simpleKT,E_pre,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2026,simpleKT,E_pre_E_sim,0.7453,0.7233,N/A,0.5496,N/A
kdd2010,0,2026,simpleKT,E_pre_E_sim_E_co,0.7399,0.7121,N/A,0.5536,N/A
kdd2010,0,2026,GKT,no_graph,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2026,GKT,E_pre,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2026,GKT,E_pre_E_sim,0.7453,0.7233,N/A,0.5496,N/A
kdd2010,0,2026,GKT,E_pre_E_sim_E_co,0.7399,0.7121,N/A,0.5536,N/A
kdd2010,0,2026,GIKT,no_graph,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2026,GIKT,E_pre,0.7403,0.7129,N/A,0.5534,N/A
kdd2010,0,2026,GIKT,E_pre_E_sim,0.7453,0.7233,N/A,0.5496,N/A
kdd2010,0,2026,GIKT,E_pre_E_sim_E_co,0.7399,0.7121,N/A,0.5536,N/A
junyi,0,2024,DKT,no_graph,0.6691,0.7063,N/A,0.5819,N/A
junyi,0,2024,DKT,E_pre,0.6695,0.7068,N/A,0.5816,N/A
junyi,0,2024,DKT,E_pre_E_sim,0.6689,0.7065,N/A,0.5818,N/A
junyi,0,2024,DKT,E_pre_E_sim_E_co,0.6689,0.7058,N/A,0.582,N/A
junyi,0,2024,simpleKT,no_graph,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2024,simpleKT,E_pre,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2024,simpleKT,E_pre_E_sim,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2024,simpleKT,E_pre_E_sim_E_co,0.6076,0.6882,N/A,0.607,N/A
junyi,0,2024,GKT,no_graph,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2024,GKT,E_pre,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2024,GKT,E_pre_E_sim,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2024,GKT,E_pre_E_sim_E_co,0.6076,0.6882,N/A,0.607,N/A
junyi,0,2024,GIKT,no_graph,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2024,GIKT,E_pre,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2024,GIKT,E_pre_E_sim,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2024,GIKT,E_pre_E_sim_E_co,0.6076,0.6882,N/A,0.607,N/A
junyi,0,2025,DKT,no_graph,0.6686,0.706,N/A,0.582,N/A
junyi,0,2025,DKT,E_pre,0.6683,0.7055,N/A,0.5824,N/A
junyi,0,2025,DKT,E_pre_E_sim,0.6689,0.7067,N/A,0.5821,N/A
junyi,0,2025,DKT,E_pre_E_sim_E_co,0.6683,0.7058,N/A,0.5822,N/A
junyi,0,2025,simpleKT,no_graph,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2025,simpleKT,E_pre,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2025,simpleKT,E_pre_E_sim,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2025,simpleKT,E_pre_E_sim_E_co,0.6076,0.6882,N/A,0.607,N/A
junyi,0,2025,GKT,no_graph,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2025,GKT,E_pre,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2025,GKT,E_pre_E_sim,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2025,GKT,E_pre_E_sim_E_co,0.6076,0.6882,N/A,0.607,N/A
junyi,0,2025,GIKT,no_graph,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2025,GIKT,E_pre,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2025,GIKT,E_pre_E_sim,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2025,GIKT,E_pre_E_sim_E_co,0.6076,0.6882,N/A,0.607,N/A
junyi,0,2026,DKT,no_graph,0.6678,0.7065,N/A,0.5822,N/A
junyi,0,2026,DKT,E_pre,0.6691,0.7057,N/A,0.5819,N/A
junyi,0,2026,DKT,E_pre_E_sim,0.6683,0.7063,N/A,0.5822,N/A
junyi,0,2026,DKT,E_pre_E_sim_E_co,0.6698,0.7069,N/A,0.5812,N/A
junyi,0,2026,simpleKT,no_graph,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2026,simpleKT,E_pre,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2026,simpleKT,E_pre_E_sim,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2026,simpleKT,E_pre_E_sim_E_co,0.6076,0.6882,N/A,0.607,N/A
junyi,0,2026,GKT,no_graph,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2026,GKT,E_pre,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2026,GKT,E_pre_E_sim,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2026,GKT,E_pre_E_sim_E_co,0.6076,0.6882,N/A,0.607,N/A
junyi,0,2026,GIKT,no_graph,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2026,GIKT,E_pre,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2026,GIKT,E_pre_E_sim,0.6075,0.6882,N/A,0.607,N/A
junyi,0,2026,GIKT,E_pre_E_sim_E_co,0.6076,0.6882,N/A,0.607,N/A
assist2012,0,2024,DKT,no_graph,0.6077,0.6878,N/A,0.6228,N/A
assist2012,0,2024,DKT,E_pre,0.6043,0.686,N/A,0.6219,N/A
assist2012,0,2024,DKT,E_pre_E_sim,0.6057,0.6888,N/A,0.6224,N/A
assist2012,0,2024,DKT,E_pre_E_sim_E_co,0.6075,0.6893,N/A,0.6225,N/A
assist2012,0,2024,simpleKT,no_graph,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2024,simpleKT,E_pre,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2024,simpleKT,E_pre_E_sim,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2024,simpleKT,E_pre_E_sim_E_co,0.5517,0.7066,N/A,0.6017,N/A
assist2012,0,2024,GKT,no_graph,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2024,GKT,E_pre,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2024,GKT,E_pre_E_sim,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2024,GKT,E_pre_E_sim_E_co,0.5517,0.7066,N/A,0.6017,N/A
assist2012,0,2024,GIKT,no_graph,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2024,GIKT,E_pre,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2024,GIKT,E_pre_E_sim,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2024,GIKT,E_pre_E_sim_E_co,0.5517,0.7066,N/A,0.6017,N/A
assist2012,0,2025,DKT,no_graph,0.6075,0.6918,N/A,0.6225,N/A
assist2012,0,2025,DKT,E_pre,0.6096,0.6862,N/A,0.6235,N/A
assist2012,0,2025,DKT,E_pre_E_sim,0.6061,0.689,N/A,0.6242,N/A
assist2012,0,2025,DKT,E_pre_E_sim_E_co,0.6041,0.6834,N/A,0.6281,N/A
assist2012,0,2025,simpleKT,no_graph,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2025,simpleKT,E_pre,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2025,simpleKT,E_pre_E_sim,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2025,simpleKT,E_pre_E_sim_E_co,0.5517,0.7066,N/A,0.6017,N/A
assist2012,0,2025,GKT,no_graph,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2025,GKT,E_pre,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2025,GKT,E_pre_E_sim,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2025,GKT,E_pre_E_sim_E_co,0.5517,0.7066,N/A,0.6017,N/A
assist2012,0,2025,GIKT,no_graph,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2025,GIKT,E_pre,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2025,GIKT,E_pre_E_sim,0.5517,0.7067,N/A,0.6019,N/A
assist2012,0,2025,GIKT,E_pre_E_sim_E_co,0.5517,0.7066,N/A,0.6017,N/A
assist2012,0,2026,DKT,no_graph,0.6074,0.6828,N/A,0.6258,N/A
assist2012,0,2026,DKT,E_pre,0.6063,0.6858,N/A,0.6237,N/A
