Dataset,Model,Noise Ratio,AUC,ACC
kdd2010,DKT,0%,0.7067,0.7668
kdd2010,simpleKT,0%,0.7399,0.7121
kdd2010,DKT,10%,0.7028,0.7759
kdd2010,simpleKT,10%,0.7401,0.7123
kdd2010,DKT,20%,0.7189,0.7809
kdd2010,simpleKT,20%,0.74,0.7125
kdd2010,DKT,50%,0.7225,0.7628
kdd2010,simpleKT,50%,0.74,0.7122
kdd2010,DKT,100%,0.7303,0.7759
kdd2010,simpleKT,100%,0.7396,0.7122
junyi,DKT,0%,0.6697,0.7068
junyi,simpleKT,0%,0.6076,0.6882
junyi,DKT,10%,0.6689,0.7066
junyi,simpleKT,10%,0.6101,0.6888
junyi,DKT,20%,0.6689,0.7055
junyi,simpleKT,20%,0.6076,0.6882
junyi,DKT,50%,0.6693,0.7063
junyi,simpleKT,50%,0.6137,0.6836
junyi,DKT,100%,0.6691,0.7064
junyi,simpleKT,100%,0.613,0.6882
assist2012,DKT,0%,0.6081,0.6852
assist2012,simpleKT,0%,0.5517,0.7066
assist2012,DKT,10%,0.6061,0.6894
assist2012,simpleKT,10%,0.5524,0.7067
assist2012,DKT,20%,0.6015,0.6892
assist2012,simpleKT,20%,0.5514,0.7067
assist2012,DKT,50%,0.6114,0.6926
assist2012,simpleKT,50%,0.5514,0.7065
assist2012,DKT,100%,0.6076,0.6898
assist2012,simpleKT,100%,0.5527,0.7065
