Dataset,Split Strategy,Model,Graph Variant,AUC,ACC
kdd2010,Temporal (80/20),DKT,no_graph,0.7638,0.7655
kdd2010,Temporal (80/20),simpleKT,no_graph,0.7347,0.7325
kdd2010,Temporal (80/20),DKT,E_pre_E_sim_E_co,0.7609,0.7838
kdd2010,Temporal (80/20),simpleKT,E_pre_E_sim_E_co,0.7372,0.7345
junyi,Temporal (80/20),DKT,no_graph,0.6467,0.7161
junyi,Temporal (80/20),simpleKT,no_graph,0.5893,0.7113
junyi,Temporal (80/20),DKT,E_pre_E_sim_E_co,0.6449,0.7152
junyi,Temporal (80/20),simpleKT,E_pre_E_sim_E_co,0.5902,0.7114
assist2012,Temporal (80/20),DKT,no_graph,0.5877,0.6678
assist2012,Temporal (80/20),simpleKT,no_graph,0.5357,0.6933
assist2012,Temporal (80/20),DKT,E_pre_E_sim_E_co,0.5895,0.6689
assist2012,Temporal (80/20),simpleKT,E_pre_E_sim_E_co,0.532,0.6933
