epoch,train_loss,valid_auc,valid_nll
1,0.6307,0.6237,0.6036
2,0.5999,0.6424,0.5945
3,0.5936,0.6513,0.5901
4,0.5905,0.6571,0.5876
5,0.5873,0.6616,0.5861
6,0.5856,0.663,0.5849
7,0.585,0.6647,0.584
8,0.5846,0.6653,0.5837
9,0.584,0.6656,0.5835
10,0.5836,0.6661,0.5833
11,0.5834,0.6664,0.5834
12,0.5832,0.6666,0.5833
13,0.5832,0.6668,0.583
14,0.583,0.6666,0.5832
15,0.5828,0.667,0.5832
16,0.5826,0.6671,0.5831
17,0.5824,0.6677,0.5828
18,0.5823,0.6678,0.5828
19,0.5822,0.6678,0.5828
20,0.5822,0.6676,0.5829
