dataset,fold,seed,backbone,candidate,test_auc,valid_auc,best_epoch
assist2012,0,42,dkt,no_graph,0.6143,0.6198,6
assist2012,0,42,dkt,e_pre,0.6171,0.6279,6
assist2012,0,42,dkt,e_pre_e_sim,0.6171,0.6279,6
assist2012,0,42,dkt,full_lc_mrsg,0.6131,0.6173,4
assist2012,0,42,dkt,relation_gated_1,0.6101,0.6175,6
assist2012,0,42,dkt,relation_gated_2,0.6171,0.6279,6
assist2012,0,2024,dkt,no_graph,0.6192,0.6304,5
assist2012,0,2024,dkt,e_pre,0.6239,0.6324,4
assist2012,0,2024,dkt,e_pre_e_sim,0.6239,0.6324,4
assist2012,0,2024,dkt,full_lc_mrsg,0.6226,0.6347,5
assist2012,0,2024,dkt,relation_gated_1,0.6226,0.6347,4
assist2012,0,2024,dkt,relation_gated_2,0.6239,0.6324,4
assist2012,0,2025,dkt,no_graph,0.616,0.6229,4
assist2012,0,2025,dkt,e_pre,0.6138,0.6239,5
assist2012,0,2025,dkt,e_pre_e_sim,0.6138,0.6239,5
assist2012,0,2025,dkt,full_lc_mrsg,0.6155,0.6241,4
assist2012,0,2025,dkt,relation_gated_1,0.6152,0.6246,6
assist2012,0,2025,dkt,relation_gated_2,0.6138,0.6239,5
assist2012,0,42,simplekt,no_graph,0.6216,0.635,5
assist2012,0,42,simplekt,e_pre,0.6216,0.635,5
assist2012,0,42,simplekt,e_pre_e_sim,0.6216,0.635,5
assist2012,0,42,simplekt,full_lc_mrsg,0.6216,0.635,5
assist2012,0,42,simplekt,relation_gated_1,0.6216,0.635,5
assist2012,0,42,simplekt,relation_gated_2,0.6216,0.635,5
assist2012,0,2024,simplekt,no_graph,0.6308,0.6398,4
assist2012,0,2024,simplekt,e_pre,0.6308,0.6398,4
assist2012,0,2024,simplekt,e_pre_e_sim,0.6308,0.6398,4
assist2012,0,2024,simplekt,full_lc_mrsg,0.6308,0.6398,4
assist2012,0,2024,simplekt,relation_gated_1,0.6308,0.6398,4
assist2012,0,2024,simplekt,relation_gated_2,0.6308,0.6398,4
assist2012,0,2025,simplekt,no_graph,0.6275,0.6384,4
assist2012,0,2025,simplekt,e_pre,0.6275,0.6384,4
assist2012,0,2025,simplekt,e_pre_e_sim,0.6275,0.6384,4
assist2012,0,2025,simplekt,full_lc_mrsg,0.6275,0.6384,4
assist2012,0,2025,simplekt,relation_gated_1,0.6275,0.6384,4
assist2012,0,2025,simplekt,relation_gated_2,0.6275,0.6384,4
assist2012,1,42,dkt,no_graph,0.6297,0.6194,4
assist2012,1,42,dkt,e_pre,0.6249,0.6199,5
assist2012,1,42,dkt,e_pre_e_sim,0.6249,0.6199,5
assist2012,1,42,dkt,full_lc_mrsg,0.6241,0.6184,5
assist2012,1,42,dkt,relation_gated_1,0.624,0.6187,5
assist2012,1,42,dkt,relation_gated_2,0.6249,0.6199,5
assist2012,1,2024,dkt,no_graph,0.6257,0.6197,5
assist2012,1,2024,dkt,e_pre,0.624,0.6207,5
assist2012,1,2024,dkt,e_pre_e_sim,0.624,0.6207,5
assist2012,1,2024,dkt,full_lc_mrsg,0.6263,0.618,4
assist2012,1,2024,dkt,relation_gated_1,0.6236,0.6179,4
assist2012,1,2024,dkt,relation_gated_2,0.624,0.6207,5
assist2012,1,2025,dkt,no_graph,0.6251,0.6207,5
assist2012,1,2025,dkt,e_pre,0.622,0.6154,5
assist2012,1,2025,dkt,e_pre_e_sim,0.622,0.6154,5
assist2012,1,2025,dkt,full_lc_mrsg,0.6296,0.6195,5
assist2012,1,2025,dkt,relation_gated_1,0.6297,0.6195,5
assist2012,1,2025,dkt,relation_gated_2,0.622,0.6154,5
assist2012,1,42,simplekt,no_graph,0.6326,0.6232,5
assist2012,1,42,simplekt,e_pre,0.6326,0.6232,5
assist2012,1,42,simplekt,e_pre_e_sim,0.6326,0.6232,5
assist2012,1,42,simplekt,full_lc_mrsg,0.6326,0.6232,5
assist2012,1,42,simplekt,relation_gated_1,0.6326,0.6232,5
assist2012,1,42,simplekt,relation_gated_2,0.6326,0.6232,5
assist2012,1,2024,simplekt,no_graph,0.6342,0.6265,4
assist2012,1,2024,simplekt,e_pre,0.6342,0.6265,4
assist2012,1,2024,simplekt,e_pre_e_sim,0.6342,0.6265,4
assist2012,1,2024,simplekt,full_lc_mrsg,0.6342,0.6265,4
assist2012,1,2024,simplekt,relation_gated_1,0.6342,0.6265,4
assist2012,1,2024,simplekt,relation_gated_2,0.6342,0.6265,4
assist2012,1,2025,simplekt,no_graph,0.6315,0.6245,5
assist2012,1,2025,simplekt,e_pre,0.6315,0.6245,5
assist2012,1,2025,simplekt,e_pre_e_sim,0.6315,0.6245,5
assist2012,1,2025,simplekt,full_lc_mrsg,0.6315,0.6245,5
assist2012,1,2025,simplekt,relation_gated_1,0.6315,0.6245,5
assist2012,1,2025,simplekt,relation_gated_2,0.6315,0.6245,5
assist2012,2,42,dkt,no_graph,0.6215,0.625,5
assist2012,2,42,dkt,e_pre,0.6246,0.6262,5
assist2012,2,42,dkt,e_pre_e_sim,0.6246,0.6262,5
assist2012,2,42,dkt,full_lc_mrsg,0.6211,0.6252,4
assist2012,2,42,dkt,relation_gated_1,0.6208,0.6249,4
assist2012,2,42,dkt,relation_gated_2,0.6246,0.6262,5
assist2012,2,2024,dkt,no_graph,0.6184,0.6205,4
assist2012,2,2024,dkt,e_pre,0.6283,0.6296,5
assist2012,2,2024,dkt,e_pre_e_sim,0.6283,0.6296,5
assist2012,2,2024,dkt,full_lc_mrsg,0.6197,0.6226,5
assist2012,2,2024,dkt,relation_gated_1,0.621,0.6242,5
assist2012,2,2024,dkt,relation_gated_2,0.6283,0.6296,5
assist2012,2,2025,dkt,no_graph,0.6192,0.618,5
assist2012,2,2025,dkt,e_pre,0.622,0.6178,4
assist2012,2,2025,dkt,e_pre_e_sim,0.622,0.6178,4
assist2012,2,2025,dkt,full_lc_mrsg,0.624,0.6168,5
assist2012,2,2025,dkt,relation_gated_1,0.6239,0.6165,5
assist2012,2,2025,dkt,relation_gated_2,0.622,0.6178,4
assist2012,2,42,simplekt,no_graph,0.6298,0.6291,5
assist2012,2,42,simplekt,e_pre,0.6298,0.6291,5
assist2012,2,42,simplekt,e_pre_e_sim,0.6298,0.6291,5
assist2012,2,42,simplekt,full_lc_mrsg,0.6298,0.6291,5
assist2012,2,42,simplekt,relation_gated_1,0.6298,0.6291,5
assist2012,2,42,simplekt,relation_gated_2,0.6298,0.6291,5
assist2012,2,2024,simplekt,no_graph,0.6295,0.6303,5
assist2012,2,2024,simplekt,e_pre,0.6295,0.6303,5
assist2012,2,2024,simplekt,e_pre_e_sim,0.6295,0.6303,5
assist2012,2,2024,simplekt,full_lc_mrsg,0.6295,0.6303,5
assist2012,2,2024,simplekt,relation_gated_1,0.6295,0.6303,5
assist2012,2,2024,simplekt,relation_gated_2,0.6295,0.6303,5
assist2012,2,2025,simplekt,no_graph,0.6319,0.6342,4
assist2012,2,2025,simplekt,e_pre,0.6319,0.6342,4
assist2012,2,2025,simplekt,e_pre_e_sim,0.6319,0.6342,4
assist2012,2,2025,simplekt,full_lc_mrsg,0.6319,0.6342,4
assist2012,2,2025,simplekt,relation_gated_1,0.6319,0.6342,4
assist2012,2,2025,simplekt,relation_gated_2,0.6319,0.6342,4
