dataset,fold,relation,unique_edges,max_pairs,density,flag
assist2012,0,Epre,254,64770,0.00392156862745098,sparse
assist2012,0,Esim,0,32385,0.0,absent
assist2012,0,Eco,10154,32385,0.31354021923730124,moderate
assist2012,1,Epre,254,65280,0.0038909313725490197,sparse
assist2012,1,Esim,0,32640,0.0,absent
assist2012,1,Eco,10069,32640,0.3084865196078431,moderate
assist2012,2,Epre,255,65280,0.00390625,sparse
assist2012,2,Esim,0,32640,0.0,absent
assist2012,2,Eco,10023,32640,0.30707720588235293,moderate
junyi,0,Epre,9,90,0.1,moderate
junyi,0,Esim,0,45,0.0,absent
junyi,0,Eco,25,45,0.5555555555555556,dense
junyi,1,Epre,9,90,0.1,moderate
junyi,1,Esim,0,45,0.0,absent
junyi,1,Eco,23,45,0.5111111111111111,dense
junyi,2,Epre,9,90,0.1,moderate
junyi,2,Esim,0,45,0.0,absent
junyi,2,Eco,22,45,0.4888888888888889,moderate
kdd2010,0,Epre,867,818120,0.0010597467364200852,sparse
kdd2010,0,Esim,397,409060,0.0009705177724539187,sparse
kdd2010,0,Eco,272184,409060,0.6653889404977265,dense
kdd2010,1,Epre,898,814506,0.0011025087599109153,sparse
kdd2010,1,Esim,412,407253,0.001011656144951664,sparse
kdd2010,1,Eco,354310,407253,0.8699997298976312,very_dense
kdd2010,2,Epre,899,816312,0.001101294603043934,sparse
kdd2010,2,Esim,412,408156,0.001009417967639824,sparse
kdd2010,2,Eco,361921,408156,0.8867222336557591,very_dense
