dataset,backbone,bin,num_skills,test_interactions,auc_no_graph,auc_selected_graph,delta_auc,reliability
assist2012,dkt,<=50,112,371,0.6378,0.6504,0.0125,Limited
assist2012,dkt,<=100,14,185,0.6366,0.6481,0.0115,Limited
assist2012,dkt,<=200,26,710,0.6278,0.6271,-0.0007,Limited
assist2012,dkt,<=500,27,1844,0.6133,0.6154,0.0022,Reliable
assist2012,dkt,>500,76,26220,0.6127,0.615,0.0023,Reliable
assist2012,simplekt,<=50,112,371,0.692,0.692,0.0,Limited
assist2012,simplekt,<=100,14,185,0.6622,0.6622,0.0,Limited
assist2012,simplekt,<=200,26,710,0.6177,0.6177,0.0,Limited
assist2012,simplekt,<=500,27,1844,0.6345,0.6345,0.0,Reliable
assist2012,simplekt,>500,76,26220,0.6184,0.6184,0.0,Reliable
junyi,dkt,<=50,0,0,NA,NA,NA,Insufficient
junyi,dkt,<=100,0,0,NA,NA,NA,Insufficient
junyi,dkt,<=200,1,13,NA,NA,NA,Insufficient
junyi,dkt,<=500,2,138,0.7582,0.7835,0.0253,Limited
junyi,dkt,>500,7,67097,0.6705,0.6707,0.0002,Reliable
junyi,simplekt,<=50,0,0,NA,NA,NA,Insufficient
junyi,simplekt,<=100,0,0,NA,NA,NA,Insufficient
junyi,simplekt,<=200,1,13,NA,NA,NA,Insufficient
junyi,simplekt,<=500,2,138,0.7829,0.7829,0.0,Limited
junyi,simplekt,>500,7,67097,0.6719,0.6719,0.0,Reliable
