interaction_id,learner_id,question_id,skill_id,timestamp,correct,dataset
1,52vEY7f17k,1,1,1126268662.0,0,kdd2010
2,52vEY7f17k,2,2,1126268740.0,0,kdd2010
2,52vEY7f17k,2,3,1126268740.0,0,kdd2010
2,52vEY7f17k,2,4,1126268740.0,0,kdd2010
3,52vEY7f17k,3,5,1126268844.0,1,kdd2010
4,52vEY7f17k,4,5,1126268850.0,1,kdd2010
5,52vEY7f17k,5,5,1126268861.0,1,kdd2010
6,52vEY7f17k,6,5,1126268930.0,1,kdd2010
7,52vEY7f17k,7,2,1126268921.0,0,kdd2010
7,52vEY7f17k,7,6,1126268921.0,0,kdd2010
7,52vEY7f17k,7,4,1126268921.0,0,kdd2010
8,52vEY7f17k,8,1,1126269219.0,1,kdd2010
9,52vEY7f17k,9,2,1126269227.0,1,kdd2010
9,52vEY7f17k,9,3,1126269227.0,1,kdd2010
9,52vEY7f17k,9,4,1126269227.0,1,kdd2010
10,52vEY7f17k,10,7,1126269351.0,0,kdd2010
10,52vEY7f17k,10,2,1126269351.0,0,kdd2010
10,52vEY7f17k,10,4,1126269351.0,0,kdd2010
11,52vEY7f17k,11,5,1126269347.0,0,kdd2010
12,52vEY7f17k,12,5,1126269475.0,1,kdd2010
13,52vEY7f17k,13,5,1126269482.0,1,kdd2010
14,52vEY7f17k,14,5,1126269491.0,1,kdd2010
15,52vEY7f17k,15,2,1126269515.0,0,kdd2010
15,52vEY7f17k,15,6,1126269515.0,0,kdd2010
15,52vEY7f17k,15,4,1126269515.0,0,kdd2010
16,52vEY7f17k,16,1,1126269711.0,1,kdd2010
17,52vEY7f17k,17,2,1126269714.0,1,kdd2010
17,52vEY7f17k,17,3,1126269714.0,1,kdd2010
17,52vEY7f17k,17,4,1126269714.0,1,kdd2010
18,52vEY7f17k,18,5,1126269726.0,1,kdd2010
19,52vEY7f17k,19,5,1126269733.0,1,kdd2010
20,52vEY7f17k,20,5,1126269738.0,0,kdd2010
21,52vEY7f17k,21,5,1126269749.0,1,kdd2010
22,52vEY7f17k,22,1,1126269796.0,1,kdd2010
23,52vEY7f17k,23,2,1126269798.0,1,kdd2010
23,52vEY7f17k,23,3,1126269798.0,1,kdd2010
23,52vEY7f17k,23,4,1126269798.0,1,kdd2010
24,52vEY7f17k,24,5,1126269849.0,1,kdd2010
25,52vEY7f17k,25,7,1126269863.0,0,kdd2010
25,52vEY7f17k,25,2,1126269863.0,0,kdd2010
25,52vEY7f17k,25,4,1126269863.0,0,kdd2010
26,52vEY7f17k,26,7,1126269902.0,0,kdd2010
26,52vEY7f17k,26,2,1126269902.0,0,kdd2010
26,52vEY7f17k,26,4,1126269902.0,0,kdd2010
27,52vEY7f17k,27,5,1126269856.0,0,kdd2010
28,52vEY7f17k,28,5,1126269882.0,0,kdd2010
29,52vEY7f17k,29,5,1126270024.0,1,kdd2010
30,52vEY7f17k,30,2,1126270182.0,1,kdd2010
30,52vEY7f17k,30,6,1126270182.0,1,kdd2010
30,52vEY7f17k,30,4,1126270182.0,1,kdd2010
31,52vEY7f17k,31,1,1126270215.0,1,kdd2010
32,52vEY7f17k,32,2,1126270221.0,1,kdd2010
32,52vEY7f17k,32,3,1126270221.0,1,kdd2010
32,52vEY7f17k,32,4,1126270221.0,1,kdd2010
33,52vEY7f17k,33,2,1126270231.0,0,kdd2010
33,52vEY7f17k,33,6,1126270231.0,0,kdd2010
33,52vEY7f17k,33,4,1126270231.0,0,kdd2010
34,52vEY7f17k,34,5,1126270234.0,1,kdd2010
35,52vEY7f17k,35,7,1126270242.0,0,kdd2010
35,52vEY7f17k,35,2,1126270242.0,0,kdd2010
35,52vEY7f17k,35,4,1126270242.0,0,kdd2010
36,52vEY7f17k,36,5,1126270251.0,1,kdd2010
37,52vEY7f17k,37,5,1126270254.0,1,kdd2010
38,52vEY7f17k,38,7,1126270273.0,0,kdd2010
38,52vEY7f17k,38,2,1126270273.0,0,kdd2010
38,52vEY7f17k,38,4,1126270273.0,0,kdd2010
39,52vEY7f17k,39,5,1126270281.0,1,kdd2010
40,52vEY7f17k,40,8,1126700300.0,0,kdd2010
40,52vEY7f17k,40,9,1126700300.0,0,kdd2010
41,52vEY7f17k,41,8,1126700420.0,0,kdd2010
41,52vEY7f17k,41,9,1126700420.0,0,kdd2010
42,52vEY7f17k,33,2,1126700716.0,1,kdd2010
42,52vEY7f17k,33,6,1126700716.0,1,kdd2010
42,52vEY7f17k,33,4,1126700716.0,1,kdd2010
43,52vEY7f17k,42,8,1126700743.0,1,kdd2010
43,52vEY7f17k,42,9,1126700743.0,1,kdd2010
44,52vEY7f17k,43,2,1126700752.0,1,kdd2010
44,52vEY7f17k,43,6,1126700752.0,1,kdd2010
44,52vEY7f17k,43,4,1126700752.0,1,kdd2010
45,52vEY7f17k,44,10,1126700852.0,0,kdd2010
46,52vEY7f17k,45,1,1126700863.0,1,kdd2010
47,52vEY7f17k,46,2,1126700870.0,0,kdd2010
47,52vEY7f17k,46,3,1126700870.0,0,kdd2010
47,52vEY7f17k,46,4,1126700870.0,0,kdd2010
48,52vEY7f17k,47,5,1126701129.0,0,kdd2010
49,52vEY7f17k,48,11,1126701349.0,1,kdd2010
49,52vEY7f17k,48,9,1126701349.0,1,kdd2010
50,52vEY7f17k,49,8,1126701358.0,1,kdd2010
50,52vEY7f17k,49,9,1126701358.0,1,kdd2010
51,52vEY7f17k,50,2,1126700909.0,0,kdd2010
51,52vEY7f17k,50,6,1126700909.0,0,kdd2010
51,52vEY7f17k,50,4,1126700909.0,0,kdd2010
52,52vEY7f17k,51,5,1126701372.0,1,kdd2010
53,52vEY7f17k,52,5,1126701417.0,1,kdd2010
54,52vEY7f17k,53,1,1126701506.0,1,kdd2010
55,52vEY7f17k,54,2,1126701509.0,1,kdd2010
55,52vEY7f17k,54,3,1126701509.0,1,kdd2010
55,52vEY7f17k,54,4,1126701509.0,1,kdd2010
56,52vEY7f17k,55,5,1126701520.0,1,kdd2010
57,52vEY7f17k,56,5,1126701530.0,1,kdd2010
58,52vEY7f17k,57,5,1126701535.0,1,kdd2010
59,52vEY7f17k,58,5,1126701542.0,1,kdd2010
60,52vEY7f17k,59,8,1126701606.0,1,kdd2010
60,52vEY7f17k,59,9,1126701606.0,1,kdd2010
61,52vEY7f17k,60,2,1126701527.0,0,kdd2010
61,52vEY7f17k,60,6,1126701527.0,0,kdd2010
61,52vEY7f17k,60,4,1126701527.0,0,kdd2010
62,52vEY7f17k,61,1,1126701641.0,1,kdd2010
63,52vEY7f17k,62,4,1126701642.0,1,kdd2010
63,52vEY7f17k,62,2,1126701642.0,1,kdd2010
63,52vEY7f17k,62,3,1126701642.0,1,kdd2010
64,52vEY7f17k,63,5,1126701670.0,1,kdd2010
65,52vEY7f17k,64,5,1126701676.0,1,kdd2010
66,52vEY7f17k,65,5,1126701682.0,1,kdd2010
67,52vEY7f17k,66,5,1126701689.0,1,kdd2010
68,52vEY7f17k,67,10,1126873430.0,1,kdd2010
69,52vEY7f17k,68,1,1126873434.0,1,kdd2010
70,52vEY7f17k,69,2,1126873435.0,0,kdd2010
70,52vEY7f17k,69,3,1126873435.0,0,kdd2010
70,52vEY7f17k,69,4,1126873435.0,0,kdd2010
71,52vEY7f17k,70,5,1126873478.0,1,kdd2010
72,52vEY7f17k,71,5,1126873485.0,1,kdd2010
73,52vEY7f17k,72,5,1126873489.0,1,kdd2010
74,52vEY7f17k,73,5,1126873495.0,1,kdd2010
75,52vEY7f17k,74,12,1126873519.0,0,kdd2010
75,52vEY7f17k,74,13,1126873519.0,0,kdd2010
76,52vEY7f17k,75,8,1126873670.0,1,kdd2010
76,52vEY7f17k,75,9,1126873670.0,1,kdd2010
77,52vEY7f17k,76,2,1126873687.0,1,kdd2010
77,52vEY7f17k,76,14,1126873687.0,1,kdd2010
77,52vEY7f17k,76,4,1126873687.0,1,kdd2010
78,52vEY7f17k,77,15,1126873691.0,0,kdd2010
79,52vEY7f17k,78,15,1126873729.0,1,kdd2010
80,52vEY7f17k,79,12,1126873756.0,1,kdd2010
80,52vEY7f17k,79,13,1126873756.0,1,kdd2010
81,52vEY7f17k,80,8,1126873762.0,1,kdd2010
81,52vEY7f17k,80,9,1126873762.0,1,kdd2010
82,52vEY7f17k,81,2,1126873770.0,1,kdd2010
82,52vEY7f17k,81,14,1126873770.0,1,kdd2010
82,52vEY7f17k,81,4,1126873770.0,1,kdd2010
83,52vEY7f17k,82,16,1126873772.0,1,kdd2010
84,52vEY7f17k,83,16,1126873785.0,1,kdd2010
85,52vEY7f17k,84,17,1126873786.0,1,kdd2010
86,52vEY7f17k,85,16,1126873788.0,1,kdd2010
87,52vEY7f17k,86,16,1126873795.0,1,kdd2010
88,52vEY7f17k,87,17,1126873797.0,1,kdd2010
89,52vEY7f17k,88,10,1126873935.0,1,kdd2010
90,52vEY7f17k,89,10,1126873942.0,1,kdd2010
91,52vEY7f17k,90,1,1126873945.0,1,kdd2010
92,52vEY7f17k,91,2,1126873946.0,1,kdd2010
92,52vEY7f17k,91,3,1126873946.0,1,kdd2010
92,52vEY7f17k,91,4,1126873946.0,1,kdd2010
93,52vEY7f17k,92,5,1126873967.0,1,kdd2010
94,52vEY7f17k,93,5,1126873973.0,1,kdd2010
95,52vEY7f17k,94,12,1126874026.0,1,kdd2010
96,52vEY7f17k,95,8,1126874065.0,1,kdd2010
96,52vEY7f17k,95,9,1126874065.0,1,kdd2010
97,52vEY7f17k,96,12,1126874202.0,1,kdd2010
98,52vEY7f17k,97,8,1126874214.0,1,kdd2010
98,52vEY7f17k,97,9,1126874214.0,1,kdd2010
99,52vEY7f17k,98,2,1126874081.0,0,kdd2010
99,52vEY7f17k,98,14,1126874081.0,0,kdd2010
99,52vEY7f17k,98,4,1126874081.0,0,kdd2010
100,52vEY7f17k,99,5,1126873976.0,0,kdd2010
100,52vEY7f17k,99,18,1126873976.0,0,kdd2010
101,52vEY7f17k,100,5,1126874329.0,1,kdd2010
102,52vEY7f17k,101,15,1126874336.0,1,kdd2010
103,52vEY7f17k,102,15,1126874353.0,1,kdd2010
104,52vEY7f17k,103,16,1126874372.0,1,kdd2010
105,52vEY7f17k,104,16,1126874424.0,1,kdd2010
106,52vEY7f17k,105,17,1126874426.0,1,kdd2010
107,52vEY7f17k,106,16,1126874428.0,1,kdd2010
108,52vEY7f17k,107,16,1126874432.0,1,kdd2010
109,52vEY7f17k,108,17,1126874436.0,1,kdd2010
110,52vEY7f17k,109,19,1126874442.0,0,kdd2010
111,52vEY7f17k,110,10,1126874534.0,1,kdd2010
112,52vEY7f17k,111,1,1126874537.0,1,kdd2010
113,52vEY7f17k,112,20,1126874538.0,0,kdd2010
113,52vEY7f17k,112,2,1126874538.0,0,kdd2010
113,52vEY7f17k,112,3,1126874538.0,0,kdd2010
114,52vEY7f17k,113,5,1126874850.0,1,kdd2010
115,52vEY7f17k,114,5,1126874859.0,1,kdd2010
116,52vEY7f17k,115,20,1126874865.0,1,kdd2010
116,52vEY7f17k,115,2,1126874865.0,1,kdd2010
116,52vEY7f17k,115,6,1126874865.0,1,kdd2010
117,52vEY7f17k,116,5,1126874866.0,1,kdd2010
118,52vEY7f17k,117,5,1126874874.0,1,kdd2010
119,52vEY7f17k,118,20,1126874877.0,1,kdd2010
119,52vEY7f17k,118,2,1126874877.0,1,kdd2010
119,52vEY7f17k,118,6,1126874877.0,1,kdd2010
120,52vEY7f17k,119,15,1126874878.0,1,kdd2010
121,52vEY7f17k,120,15,1126874889.0,1,kdd2010
122,52vEY7f17k,121,16,1126874895.0,1,kdd2010
123,52vEY7f17k,122,16,1126874902.0,1,kdd2010
124,52vEY7f17k,123,17,1126874904.0,1,kdd2010
125,52vEY7f17k,124,16,1126874908.0,1,kdd2010
126,52vEY7f17k,125,16,1126874914.0,1,kdd2010
127,52vEY7f17k,126,17,1126874916.0,1,kdd2010
128,52vEY7f17k,127,15,1126874975.0,0,kdd2010
129,52vEY7f17k,128,10,1126875123.0,1,kdd2010
130,52vEY7f17k,129,10,1126875124.0,1,kdd2010
131,52vEY7f17k,130,1,1126875124.0,1,kdd2010
132,52vEY7f17k,131,5,1127305426.0,0,kdd2010
133,52vEY7f17k,132,5,1127305478.0,1,kdd2010
134,52vEY7f17k,133,20,1127305528.0,0,kdd2010
134,52vEY7f17k,133,3,1127305528.0,0,kdd2010
134,52vEY7f17k,133,21,1127305528.0,0,kdd2010
135,52vEY7f17k,134,5,1127305824.0,1,kdd2010
136,52vEY7f17k,135,5,1127305484.0,0,kdd2010
137,52vEY7f17k,127,15,1127306024.0,0,kdd2010
138,52vEY7f17k,136,15,1127306076.0,1,kdd2010
139,52vEY7f17k,137,13,1127306680.0,0,kdd2010
139,52vEY7f17k,137,12,1127306680.0,0,kdd2010
140,52vEY7f17k,138,8,1127306733.0,1,kdd2010
140,52vEY7f17k,138,9,1127306733.0,1,kdd2010
141,52vEY7f17k,139,12,1127306870.0,1,kdd2010
141,52vEY7f17k,139,13,1127306870.0,1,kdd2010
142,52vEY7f17k,140,8,1127306887.0,1,kdd2010
142,52vEY7f17k,140,9,1127306887.0,1,kdd2010
143,52vEY7f17k,141,20,1127305814.0,0,kdd2010
143,52vEY7f17k,141,21,1127305814.0,0,kdd2010
143,52vEY7f17k,141,14,1127305814.0,0,kdd2010
144,52vEY7f17k,142,12,1127306921.0,1,kdd2010
144,52vEY7f17k,142,13,1127306921.0,1,kdd2010
145,52vEY7f17k,143,8,1127306928.0,1,kdd2010
145,52vEY7f17k,143,9,1127306928.0,1,kdd2010
146,52vEY7f17k,144,20,1127306933.0,0,kdd2010
146,52vEY7f17k,144,21,1127306933.0,0,kdd2010
146,52vEY7f17k,144,14,1127306933.0,0,kdd2010
147,52vEY7f17k,145,16,1127306945.0,1,kdd2010
148,52vEY7f17k,146,16,1127306965.0,0,kdd2010
149,52vEY7f17k,147,17,1127306974.0,1,kdd2010
