dataset,fold_id,src_skill_id,dst_skill_id,relation_type,directed,weight,support_count,source_split,source_fold,support_source,support_interaction_ids_hash,support_question_ids_hash,construction_method,threshold,confidence,created_at
kdd2010,0,2,3,E_sim,False,0.21542227662178703,176,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-12T11:14:40.245021
kdd2010,0,2,4,E_sim,False,0.4191082802547771,329,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-12T11:14:40.245021
kdd2010,0,2,6,E_sim,False,0.10931174089068826,81,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-12T11:14:40.245021
kdd2010,0,2,7,E_sim,False,0.11597938144329897,90,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-12T11:14:40.245021
kdd2010,0,2,14,E_sim,False,0.1524163568773234,123,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-12T11:14:40.252047
kdd2010,0,2,20,E_sim,False,0.3524229074889868,400,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-12T11:14:40.252047
kdd2010,0,2,47,E_sim,False,0.1433868974042027,116,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-12T11:14:40.252047
kdd2010,0,3,4,E_sim,False,0.19301470588235295,105,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-12T11:14:40.252047
kdd2010,0,3,20,E_sim,False,0.17453347969264543,159,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-12T11:14:40.252047
kdd2010,0,3,21,E_sim,False,0.13793103448275862,88,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-12T11:14:40.252047
kdd2010,0,4,6,E_sim,False,0.14903846153846154,62,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-12T11:14:40.255577
kdd2010,0,4,14,E_sim,False,0.2032854209445585,99,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-12T11:14:40.255577
kdd2010,0,7,20,E_sim,False,0.1388888888888889,115,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-12T11:14:40.263246
kdd2010,0,8,9,E_sim,False,0.5013333333333333,1128,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-12T11:14:40.263246
kdd2010,0,9,23,E_sim,False,0.2871111111111111,646,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-12T11:14:40.263246
