interaction_id,learner_id,question_id,skill_id,timestamp,correct,dataset
30054,23T7Up1oQ6,5275,10,1144680951.0,1,kdd2010
30055,23T7Up1oQ6,5276,10,1144681019.0,0,kdd2010
30056,23T7Up1oQ6,5279,5,1144681055.0,0,kdd2010
30056,23T7Up1oQ6,5279,93,1144681055.0,0,kdd2010
30057,23T7Up1oQ6,5282,7,1144681097.0,1,kdd2010
30057,23T7Up1oQ6,5282,20,1144681097.0,1,kdd2010
30057,23T7Up1oQ6,5282,2,1144681097.0,1,kdd2010
30058,23T7Up1oQ6,5280,5,1144681137.0,1,kdd2010
30059,23T7Up1oQ6,5283,7,1144681149.0,1,kdd2010
30059,23T7Up1oQ6,5283,20,1144681149.0,1,kdd2010
30059,23T7Up1oQ6,5283,2,1144681149.0,1,kdd2010
30060,23T7Up1oQ6,5281,5,1144681160.0,1,kdd2010
30061,23T7Up1oQ6,5284,7,1144681174.0,1,kdd2010
30061,23T7Up1oQ6,5284,20,1144681174.0,1,kdd2010
30061,23T7Up1oQ6,5284,2,1144681174.0,1,kdd2010
30062,23T7Up1oQ6,5277,1,1144681182.0,1,kdd2010
30063,23T7Up1oQ6,5278,20,1144681197.0,1,kdd2010
30063,23T7Up1oQ6,5278,2,1144681197.0,1,kdd2010
30063,23T7Up1oQ6,5278,3,1144681197.0,1,kdd2010
30064,23T7Up1oQ6,11448,5,1144681277.0,1,kdd2010
30065,23T7Up1oQ6,11450,7,1144681295.0,1,kdd2010
30065,23T7Up1oQ6,11450,20,1144681295.0,1,kdd2010
30065,23T7Up1oQ6,11450,2,1144681295.0,1,kdd2010
30066,23T7Up1oQ6,11449,5,1144681314.0,1,kdd2010
30067,23T7Up1oQ6,11451,7,1144681322.0,1,kdd2010
30067,23T7Up1oQ6,11451,20,1144681322.0,1,kdd2010
30067,23T7Up1oQ6,11451,2,1144681322.0,1,kdd2010
30068,23T7Up1oQ6,11446,1,1144681335.0,1,kdd2010
30069,23T7Up1oQ6,11447,20,1144681344.0,1,kdd2010
30069,23T7Up1oQ6,11447,2,1144681344.0,1,kdd2010
30069,23T7Up1oQ6,11447,3,1144681344.0,1,kdd2010
30070,23T7Up1oQ6,11452,10,1144681402.0,1,kdd2010
30071,23T7Up1oQ6,11455,5,1144681409.0,1,kdd2010
30072,23T7Up1oQ6,11459,7,1144681425.0,1,kdd2010
30072,23T7Up1oQ6,11459,20,1144681425.0,1,kdd2010
30072,23T7Up1oQ6,11459,2,1144681425.0,1,kdd2010
30073,23T7Up1oQ6,11456,5,1144681440.0,1,kdd2010
30074,23T7Up1oQ6,11460,7,1144681446.0,1,kdd2010
30074,23T7Up1oQ6,11460,20,1144681446.0,1,kdd2010
30074,23T7Up1oQ6,11460,2,1144681446.0,1,kdd2010
30075,23T7Up1oQ6,11457,5,1144681453.0,1,kdd2010
30076,23T7Up1oQ6,11458,20,1144681463.0,1,kdd2010
30076,23T7Up1oQ6,11458,2,1144681463.0,1,kdd2010
30076,23T7Up1oQ6,11458,6,1144681463.0,1,kdd2010
30077,23T7Up1oQ6,11453,1,1144681506.0,1,kdd2010
30078,23T7Up1oQ6,11454,20,1144681513.0,1,kdd2010
30078,23T7Up1oQ6,11454,2,1144681513.0,1,kdd2010
30078,23T7Up1oQ6,11454,3,1144681513.0,1,kdd2010
30079,23T7Up1oQ6,14942,10,1144681551.0,1,kdd2010
30080,23T7Up1oQ6,14943,10,1144681602.0,1,kdd2010
30081,23T7Up1oQ6,14944,5,1144681617.0,1,kdd2010
30081,23T7Up1oQ6,14944,18,1144681617.0,1,kdd2010
30082,23T7Up1oQ6,14945,7,1144681633.0,1,kdd2010
30082,23T7Up1oQ6,14945,20,1144681633.0,1,kdd2010
30082,23T7Up1oQ6,14945,2,1144681633.0,1,kdd2010
30083,23T7Up1oQ6,14946,5,1144681649.0,1,kdd2010
30083,23T7Up1oQ6,14946,18,1144681649.0,1,kdd2010
30084,23T7Up1oQ6,14947,7,1144681665.0,1,kdd2010
30084,23T7Up1oQ6,14947,20,1144681665.0,1,kdd2010
30084,23T7Up1oQ6,14947,2,1144681665.0,1,kdd2010
30085,23T7Up1oQ6,14948,5,1144681671.0,1,kdd2010
30085,23T7Up1oQ6,14948,18,1144681671.0,1,kdd2010
30086,23T7Up1oQ6,14949,7,1144681699.0,1,kdd2010
30086,23T7Up1oQ6,14949,20,1144681699.0,1,kdd2010
30086,23T7Up1oQ6,14949,2,1144681699.0,1,kdd2010
30087,23T7Up1oQ6,14950,1,1144681706.0,1,kdd2010
30088,23T7Up1oQ6,14951,20,1144681709.0,0,kdd2010
30088,23T7Up1oQ6,14951,2,1144681709.0,0,kdd2010
30088,23T7Up1oQ6,14951,3,1144681709.0,0,kdd2010
30089,23T7Up1oQ6,11461,10,1144682025.0,0,kdd2010
30090,23T7Up1oQ6,11465,5,1144682260.0,1,kdd2010
30091,23T7Up1oQ6,11464,7,1144682283.0,1,kdd2010
30091,23T7Up1oQ6,11464,20,1144682283.0,1,kdd2010
30091,23T7Up1oQ6,11464,21,1144682283.0,1,kdd2010
30092,23T7Up1oQ6,11466,5,1144682300.0,1,kdd2010
30093,23T7Up1oQ6,11467,7,1144682316.0,1,kdd2010
