interaction_id,learner_id,question_id,skill_id,timestamp,correct,dataset
1,52vEY7f17k,1,1,1126268662.0,0,algebra2005
2,52vEY7f17k,2,2,1126268740.0,0,algebra2005
2,52vEY7f17k,2,3,1126268740.0,0,algebra2005
2,52vEY7f17k,2,4,1126268740.0,0,algebra2005
3,52vEY7f17k,3,5,1126268844.0,1,algebra2005
4,52vEY7f17k,4,5,1126268850.0,1,algebra2005
5,52vEY7f17k,5,5,1126268861.0,1,algebra2005
6,52vEY7f17k,6,5,1126268930.0,1,algebra2005
7,52vEY7f17k,7,2,1126268921.0,0,algebra2005
7,52vEY7f17k,7,6,1126268921.0,0,algebra2005
7,52vEY7f17k,7,4,1126268921.0,0,algebra2005
8,52vEY7f17k,8,1,1126269219.0,1,algebra2005
9,52vEY7f17k,9,2,1126269227.0,1,algebra2005
9,52vEY7f17k,9,3,1126269227.0,1,algebra2005
9,52vEY7f17k,9,4,1126269227.0,1,algebra2005
10,52vEY7f17k,10,7,1126269351.0,0,algebra2005
10,52vEY7f17k,10,2,1126269351.0,0,algebra2005
10,52vEY7f17k,10,4,1126269351.0,0,algebra2005
11,52vEY7f17k,11,5,1126269347.0,0,algebra2005
12,52vEY7f17k,12,5,1126269475.0,1,algebra2005
13,52vEY7f17k,13,5,1126269482.0,1,algebra2005
14,52vEY7f17k,14,5,1126269491.0,1,algebra2005
15,52vEY7f17k,15,2,1126269515.0,0,algebra2005
15,52vEY7f17k,15,6,1126269515.0,0,algebra2005
15,52vEY7f17k,15,4,1126269515.0,0,algebra2005
16,52vEY7f17k,16,1,1126269711.0,1,algebra2005
17,52vEY7f17k,17,2,1126269714.0,1,algebra2005
17,52vEY7f17k,17,3,1126269714.0,1,algebra2005
17,52vEY7f17k,17,4,1126269714.0,1,algebra2005
18,52vEY7f17k,18,5,1126269726.0,1,algebra2005
19,52vEY7f17k,19,5,1126269733.0,1,algebra2005
20,52vEY7f17k,20,5,1126269738.0,0,algebra2005
21,52vEY7f17k,21,5,1126269749.0,1,algebra2005
22,52vEY7f17k,22,1,1126269796.0,1,algebra2005
23,52vEY7f17k,23,2,1126269798.0,1,algebra2005
23,52vEY7f17k,23,3,1126269798.0,1,algebra2005
23,52vEY7f17k,23,4,1126269798.0,1,algebra2005
24,52vEY7f17k,24,5,1126269849.0,1,algebra2005
25,52vEY7f17k,25,7,1126269863.0,0,algebra2005
25,52vEY7f17k,25,2,1126269863.0,0,algebra2005
25,52vEY7f17k,25,4,1126269863.0,0,algebra2005
26,52vEY7f17k,26,7,1126269902.0,0,algebra2005
26,52vEY7f17k,26,2,1126269902.0,0,algebra2005
26,52vEY7f17k,26,4,1126269902.0,0,algebra2005
27,52vEY7f17k,27,5,1126269856.0,0,algebra2005
28,52vEY7f17k,28,5,1126269882.0,0,algebra2005
29,52vEY7f17k,29,5,1126270024.0,1,algebra2005
30,52vEY7f17k,30,2,1126270182.0,1,algebra2005
30,52vEY7f17k,30,6,1126270182.0,1,algebra2005
30,52vEY7f17k,30,4,1126270182.0,1,algebra2005
31,52vEY7f17k,31,1,1126270215.0,1,algebra2005
32,52vEY7f17k,32,2,1126270221.0,1,algebra2005
32,52vEY7f17k,32,3,1126270221.0,1,algebra2005
32,52vEY7f17k,32,4,1126270221.0,1,algebra2005
