interaction_id,learner_id,question_id,skill_id,timestamp,correct,dataset
1,41,16,17,1001,0,synthetic
2,18,8,9,1002,1,synthetic
3,42,26,7,1003,0,synthetic
4,48,18,19,1004,0,synthetic
5,5,5,6,1005,1,synthetic
6,2,1,2,6,0,synthetic
7,7,38,19,1007,1,synthetic
8,13,39,20,1008,1,synthetic
9,21,28,9,1009,0,synthetic
10,20,18,19,1010,1,synthetic
11,13,7,8,1011,1,synthetic
12,42,37,18,1012,1,synthetic
13,25,19,20,1013,1,synthetic
14,6,15,16,1014,1,synthetic
15,36,18,19,1015,1,synthetic
16,19,35,16,1016,0,synthetic
17,25,2,3,1017,1,synthetic
18,47,26,7,1018,1,synthetic
19,49,35,16,1019,0,synthetic
20,29,15,16,1020,0,synthetic
21,26,15,16,1021,1,synthetic
22,24,31,12,1022,0,synthetic
23,42,20,1,1023,1,synthetic
24,10,6,7,1024,0,synthetic
25,36,11,12,1025,0,synthetic
26,32,38,19,1026,0,synthetic
27,6,10,11,1027,1,synthetic
28,40,31,12,1028,0,synthetic
29,4,32,13,1029,1,synthetic
30,27,20,1,30,1,synthetic
31,10,3,4,1031,1,synthetic
32,45,37,18,1032,1,synthetic
33,1,18,19,1033,0,synthetic
34,49,36,17,1034,1,synthetic
35,35,32,13,1035,1,synthetic
36,42,16,17,1036,1,synthetic
37,30,31,12,1037,0,synthetic
38,7,28,9,1038,0,synthetic
39,25,9,10,1039,0,synthetic
40,11,34,15,1040,0,synthetic
41,11,13,14,1041,1,synthetic
42,8,3,4,1042,1,synthetic
43,32,11,12,1043,1,synthetic
44,9,36,17,1044,1,synthetic
45,26,1,2,45,1,synthetic
46,8,28,9,1046,1,synthetic
47,47,18,19,1047,1,synthetic
48,40,24,5,1048,0,synthetic
49,10,19,20,1049,0,synthetic
50,40,24,5,1050,1,synthetic
51,31,30,11,1051,0,synthetic
52,22,9,10,1052,0,synthetic
53,34,31,12,1053,0,synthetic
54,21,27,8,1054,0,synthetic
55,10,31,12,1055,0,synthetic
56,1,20,1,56,0,synthetic
57,13,7,8,1057,1,synthetic
58,22,7,8,1058,0,synthetic
59,40,30,11,1059,0,synthetic
60,5,23,4,1060,0,synthetic
61,23,1,2,1061,0,synthetic
62,18,19,20,1062,1,synthetic
63,38,20,1,1063,1,synthetic
64,40,26,7,1064,1,synthetic
65,36,35,16,1065,0,synthetic
66,5,38,19,1066,0,synthetic
67,7,14,15,1067,1,synthetic
68,12,17,18,1068,0,synthetic
69,9,34,15,1069,1,synthetic
70,22,37,18,1070,1,synthetic
71,48,40,1,1071,1,synthetic
72,14,11,12,1072,0,synthetic
73,15,14,15,1073,0,synthetic
74,40,10,11,1074,0,synthetic
75,11,31,12,1075,0,synthetic
76,21,5,6,1076,0,synthetic
77,9,33,14,1077,1,synthetic
78,28,31,12,1078,1,synthetic
79,20,33,14,1079,0,synthetic
80,16,36,17,1080,1,synthetic
81,25,25,6,1081,1,synthetic
82,23,20,1,82,1,synthetic
83,34,6,7,1083,0,synthetic
84,11,18,19,1084,0,synthetic
85,28,36,17,1085,1,synthetic
86,32,17,18,1086,0,synthetic
87,36,28,9,1087,1,synthetic
88,12,2,3,1088,1,synthetic
89,30,23,4,1089,1,synthetic
90,14,40,1,1090,0,synthetic
91,25,24,5,1091,0,synthetic
92,48,1,2,92,0,synthetic
93,29,24,5,1093,0,synthetic
94,1,38,19,1094,1,synthetic
95,22,7,8,1095,1,synthetic
96,17,33,14,1096,0,synthetic
97,39,18,19,1097,0,synthetic
98,42,18,19,1098,1,synthetic
99,26,3,4,1099,1,synthetic
100,18,4,5,1100,0,synthetic
101,46,31,12,1101,1,synthetic
102,32,12,13,1102,1,synthetic
103,48,35,16,1103,0,synthetic
104,3,24,5,1104,0,synthetic
105,40,10,11,1105,0,synthetic
106,9,6,7,1106,1,synthetic
107,8,4,5,1107,1,synthetic
108,41,4,5,1108,1,synthetic
109,7,35,16,1109,1,synthetic
110,13,40,1,110,0,synthetic
111,22,21,2,111,0,synthetic
112,38,24,5,1112,0,synthetic
113,43,26,7,1113,1,synthetic
114,43,4,5,1114,0,synthetic
115,13,33,14,1115,0,synthetic
116,47,18,19,1116,0,synthetic
117,12,29,10,1117,0,synthetic
118,18,39,20,1118,0,synthetic
119,45,33,14,1119,1,synthetic
120,12,1,2,120,1,synthetic
121,18,36,17,1121,1,synthetic
122,8,22,3,1122,1,synthetic
123,37,6,7,1123,1,synthetic
124,6,8,9,1124,0,synthetic
125,12,6,7,1125,0,synthetic
126,21,38,19,1126,0,synthetic
127,50,11,12,1127,0,synthetic
128,14,24,5,1128,1,synthetic
129,6,16,17,1129,1,synthetic
130,44,13,14,1130,0,synthetic
131,20,4,5,1131,1,synthetic
132,46,19,20,1132,0,synthetic
133,18,9,10,1133,1,synthetic
134,27,15,16,1134,0,synthetic
135,18,13,14,1135,0,synthetic
136,19,17,18,1136,1,synthetic
137,17,6,7,1137,1,synthetic
138,23,38,19,1138,1,synthetic
139,23,34,15,1139,1,synthetic
140,41,11,12,1140,0,synthetic
141,38,25,6,1141,0,synthetic
142,35,37,18,1142,0,synthetic
143,45,28,9,1143,1,synthetic
144,42,19,20,1144,0,synthetic
145,22,33,14,1145,1,synthetic
146,6,33,14,1146,0,synthetic
147,17,14,15,1147,1,synthetic
148,17,3,4,1148,0,synthetic
149,34,12,13,1149,1,synthetic
150,9,30,11,1150,1,synthetic
151,24,37,18,1151,1,synthetic
152,43,38,19,1152,0,synthetic
153,21,7,8,1153,1,synthetic
154,1,11,12,1154,1,synthetic
155,31,22,3,1155,1,synthetic
156,42,7,8,1156,0,synthetic
157,23,20,1,157,0,synthetic
158,30,35,16,1158,0,synthetic
159,49,2,3,1159,1,synthetic
160,40,30,11,1160,1,synthetic
161,47,26,7,1161,1,synthetic
162,16,17,18,1162,1,synthetic
163,39,22,3,1163,1,synthetic
164,44,26,7,1164,1,synthetic
165,3,15,16,1165,0,synthetic
166,27,28,9,1166,1,synthetic
167,37,26,7,1167,0,synthetic
168,11,33,14,1168,0,synthetic
169,20,39,20,1169,0,synthetic
170,37,9,10,1170,0,synthetic
171,43,22,3,1171,0,synthetic
172,6,20,1,1172,0,synthetic
173,23,30,11,1173,1,synthetic
174,11,30,11,1174,0,synthetic
175,43,10,11,1175,0,synthetic
176,12,20,1,1176,1,synthetic
177,6,12,13,1177,0,synthetic
178,14,28,9,1178,0,synthetic
179,47,16,17,1179,0,synthetic
180,44,36,17,1180,1,synthetic
181,1,31,12,1181,0,synthetic
182,23,7,8,1182,1,synthetic
183,36,26,7,1183,0,synthetic
184,31,25,6,1184,1,synthetic
185,46,16,17,1185,0,synthetic
186,25,9,10,1186,1,synthetic
187,49,9,10,1187,1,synthetic
188,50,21,2,188,1,synthetic
189,44,28,9,1189,1,synthetic
190,35,5,6,1190,1,synthetic
191,32,38,19,1191,0,synthetic
192,15,39,20,1192,0,synthetic
193,50,16,17,1193,1,synthetic
194,24,22,3,1194,0,synthetic
195,40,39,20,1195,1,synthetic
196,5,15,16,1196,0,synthetic
197,32,13,14,1197,0,synthetic
198,14,20,1,1198,1,synthetic
199,6,22,3,1199,1,synthetic
200,42,12,13,1200,1,synthetic
201,10,19,20,1201,1,synthetic
202,25,31,12,1202,0,synthetic
203,17,27,8,1203,0,synthetic
204,11,26,7,1204,0,synthetic
205,30,6,7,1205,1,synthetic
206,44,7,8,1206,1,synthetic
207,1,11,12,1207,1,synthetic
208,9,37,18,1208,1,synthetic
209,44,30,11,1209,0,synthetic
210,32,26,7,1210,1,synthetic
211,50,4,5,1211,1,synthetic
212,28,17,18,1212,0,synthetic
213,39,29,10,1213,1,synthetic
214,50,31,12,1214,1,synthetic
215,35,24,5,1215,0,synthetic
216,12,28,9,1216,1,synthetic
217,44,6,7,1217,0,synthetic
218,1,22,3,1218,1,synthetic
219,13,33,14,1219,1,synthetic
220,28,4,5,1220,1,synthetic
221,19,3,4,1221,0,synthetic
222,32,30,11,1222,1,synthetic
223,4,39,20,1223,1,synthetic
224,17,28,9,1224,1,synthetic
225,44,19,20,1225,0,synthetic
226,35,18,19,1226,0,synthetic
227,19,23,4,1227,1,synthetic
228,2,29,10,1228,1,synthetic
229,20,3,4,1229,0,synthetic
230,23,3,4,1230,1,synthetic
231,16,12,13,1231,0,synthetic
232,35,7,8,1232,0,synthetic
233,47,10,11,1233,1,synthetic
234,28,18,19,1234,1,synthetic
235,30,40,1,1235,0,synthetic
236,47,34,15,1236,1,synthetic
237,3,5,6,1237,1,synthetic
238,24,3,4,1238,0,synthetic
239,39,7,8,1239,1,synthetic
240,33,6,7,1240,1,synthetic
241,41,20,1,241,1,synthetic
242,26,2,3,1242,0,synthetic
243,48,17,18,1243,0,synthetic
244,28,8,9,1244,0,synthetic
245,37,17,18,1245,1,synthetic
246,40,33,14,1246,0,synthetic
247,45,4,5,1247,1,synthetic
248,37,31,12,1248,0,synthetic
249,49,28,9,1249,1,synthetic
250,48,12,13,1250,1,synthetic
251,33,3,4,1251,1,synthetic
252,12,19,20,1252,1,synthetic
253,1,27,8,1253,0,synthetic
254,2,27,8,1254,0,synthetic
255,18,18,19,1255,1,synthetic
256,39,21,2,1256,0,synthetic
257,15,15,16,1257,0,synthetic
258,46,21,2,258,0,synthetic
259,5,40,1,259,1,synthetic
260,47,39,20,1260,1,synthetic
261,38,27,8,1261,1,synthetic
262,35,25,6,1262,1,synthetic
263,36,1,2,263,1,synthetic
264,22,21,2,264,1,synthetic
265,29,10,11,1265,1,synthetic
266,48,32,13,1266,0,synthetic
267,35,11,12,1267,1,synthetic
268,17,26,7,1268,0,synthetic
269,43,37,18,1269,0,synthetic
270,41,32,13,1270,1,synthetic
271,6,14,15,1271,1,synthetic
272,20,19,20,1272,1,synthetic
273,29,30,11,1273,0,synthetic
274,10,40,1,1274,0,synthetic
275,40,23,4,1275,1,synthetic
276,27,2,3,1276,1,synthetic
277,36,32,13,1277,0,synthetic
278,25,35,16,1278,0,synthetic
279,25,39,20,1279,0,synthetic
280,7,26,7,1280,0,synthetic
281,14,8,9,1281,1,synthetic
282,12,11,12,1282,1,synthetic
283,36,27,8,1283,1,synthetic
284,49,14,15,1284,1,synthetic
285,39,18,19,1285,1,synthetic
286,50,24,5,1286,0,synthetic
