dataset,fold_id,model,graph_variant,seed,auc,acc,nll,num_train_interactions,num_valid_interactions,num_test_interactions,notes,created_at
assist2012,0,DKT,no_graph,2024,0.6077,0.6878,0.6228,155075,33543,32746,Graph features augmented,2026-05-14T23:10:41.597327
assist2012,0,DKT,E_pre,2024,0.6043,0.686,0.6219,155075,33543,32746,Graph features augmented,2026-05-14T23:11:12.895452
assist2012,0,DKT,E_pre_E_sim,2024,0.6057,0.6888,0.6224,155075,33543,32746,Graph features augmented,2026-05-14T23:11:39.132848
assist2012,0,DKT,E_pre_E_sim_E_co,2024,0.6075,0.6893,0.6225,155075,33543,32746,Graph features augmented,2026-05-14T23:12:06.255063
assist2012,0,simpleKT,no_graph,2024,0.5517,0.7067,0.6019,155075,33543,32746,Graph features augmented,2026-05-14T23:12:14.098606
assist2012,0,simpleKT,E_pre,2024,0.5517,0.7067,0.6019,155075,33543,32746,Graph features augmented,2026-05-14T23:12:17.252860
assist2012,0,simpleKT,E_pre_E_sim,2024,0.5517,0.7067,0.6019,155075,33543,32746,Graph features augmented,2026-05-14T23:12:20.332296
assist2012,0,simpleKT,E_pre_E_sim_E_co,2024,0.5517,0.7066,0.6017,155075,33543,32746,Graph features augmented,2026-05-14T23:12:24.075206
assist2012,0,GKT,no_graph,2024,0.5517,0.7067,0.6019,155075,33543,32746,Graph features augmented,2026-05-14T23:12:31.421080
assist2012,0,GKT,E_pre,2024,0.5517,0.7067,0.6019,155075,33543,32746,Graph features augmented,2026-05-14T23:12:34.563599
assist2012,0,GKT,E_pre_E_sim,2024,0.5517,0.7067,0.6019,155075,33543,32746,Graph features augmented,2026-05-14T23:12:37.680302
assist2012,0,GKT,E_pre_E_sim_E_co,2024,0.5517,0.7066,0.6017,155075,33543,32746,Graph features augmented,2026-05-14T23:12:41.726040
assist2012,0,GIKT,no_graph,2024,0.5517,0.7067,0.6019,155075,33543,32746,Graph features augmented,2026-05-14T23:12:48.891202
assist2012,0,GIKT,E_pre,2024,0.5517,0.7067,0.6019,155075,33543,32746,Graph features augmented,2026-05-14T23:12:51.847775
assist2012,0,GIKT,E_pre_E_sim,2024,0.5517,0.7067,0.6019,155075,33543,32746,Graph features augmented,2026-05-14T23:12:54.895409
assist2012,0,GIKT,E_pre_E_sim_E_co,2024,0.5517,0.7066,0.6017,155075,33543,32746,Graph features augmented,2026-05-14T23:12:58.823451
assist2012,0,DKT,no_graph,2025,0.6075,0.6918,0.6225,155075,33543,32746,Graph features augmented,2026-05-14T23:13:31.254476
assist2012,0,DKT,E_pre,2025,0.6096,0.6862,0.6235,155075,33543,32746,Graph features augmented,2026-05-14T23:13:58.442733
assist2012,0,DKT,E_pre_E_sim,2025,0.6061,0.689,0.6242,155075,33543,32746,Graph features augmented,2026-05-14T23:14:26.395330
