dataset,fold_id,src_skill_id,dst_skill_id,relation_type,directed,weight,support_count,source_split,source_fold,support_source,support_interaction_ids_hash,support_question_ids_hash,construction_method,threshold,confidence,created_at
assist2012,0,25,295,E_co,False,1.6802126831242927,162,train,0,train,hash,hash,pmi,0,1.0,2026-05-15T02:26:29.391913
assist2012,0,65,67,E_co,False,0.719032118671766,305,train,0,train,hash,hash,pmi,0,1.0,2026-05-15T02:26:29.391913
assist2012,0,65,79,E_co,False,0.8381046127537328,310,train,0,train,hash,hash,pmi,0,1.0,2026-05-15T02:26:29.391913
assist2012,0,65,83,E_co,False,1.6559072558547094,559,train,0,train,hash,hash,pmi,0,1.0,2026-05-15T02:26:29.391913
assist2012,0,65,276,E_co,False,0.8599755526593682,396,train,0,train,hash,hash,pmi,0,1.0,2026-05-15T02:26:29.391913
assist2012,0,65,279,E_co,False,0.5338779192064439,301,train,0,train,hash,hash,pmi,0,1.0,2026-05-15T02:26:29.391913
assist2012,0,65,280,E_co,False,0.5708532457189367,479,train,0,train,hash,hash,pmi,0,1.0,2026-05-15T02:26:29.391913
assist2012,0,65,82,E_co,False,0.7976317560970728,131,train,0,train,hash,hash,pmi,0,1.0,2026-05-15T02:26:29.391913
assist2012,0,65,316,E_co,False,1.6440215321856289,50,train,0,train,hash,hash,pmi,0,1.0,2026-05-15T02:26:29.391913
assist2012,0,65,278,E_co,False,0.7870800994456125,305,train,0,train,hash,hash,pmi,0,1.0,2026-05-15T02:26:29.391913
assist2012,0,67,79,E_co,False,0.7219769008769826,565,train,0,train,hash,hash,pmi,0,1.0,2026-05-15T02:26:29.391913
assist2012,0,67,83,E_co,False,0.48830736800764135,356,train,0,train,hash,hash,pmi,0,1.0,2026-05-15T02:26:29.391913
assist2012,0,67,276,E_co,False,0.8072711653665323,769,train,0,train,hash,hash,pmi,0,1.0,2026-05-15T02:26:29.391913
assist2012,0,67,279,E_co,False,0.9282170803677189,914,train,0,train,hash,hash,pmi,0,1.0,2026-05-15T02:26:29.391913
assist2012,0,67,280,E_co,False,0.9919838684567849,1494,train,0,train,hash,hash,pmi,0,1.0,2026-05-15T02:26:29.391913
