dataset,fold_id,src_skill_id,dst_skill_id,relation_type,directed,weight,support_count,source_split,source_fold,support_source,support_interaction_ids_hash,support_question_ids_hash,construction_method,threshold,confidence,created_at
assist2012,0,387,610,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.390497
assist2012,0,387,613,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.390497
assist2012,0,387,588,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.390497
assist2012,0,387,172,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.390497
assist2012,0,387,361,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.390497
assist2012,0,387,598,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.390497
assist2012,0,387,289,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.390497
assist2012,0,387,595,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.390497
assist2012,0,387,606,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.390497
assist2012,0,387,23,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,213,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,575,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,184,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,594,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,593,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,580,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,609,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,388,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,343,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,605,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,599,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,597,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,230,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,614,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,601,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,222,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,220,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,376,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,10,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,603,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,233,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,53,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,568,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,163,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,578,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,339,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,354,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,592,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,105,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
assist2012,0,387,206,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0,0.5,2026-05-15T02:26:27.391494
