skill_id,n_interactions,n_learners,avg_correct,n_questions,strata
1EzKLzTq9Ax8/wlR9cJNrtthvk9lBi/SFdx/4L1PIaE=,38592,9683,0.6421538142620232,115,dense
2YwsqJH0U7Zguyun1OaStQsIHbUoYvgJNK0QCGC5BQI=,288,144,0.6319444444444444,21,sparse
5Np4fxxPeBgmNpeEOcXqarZIVsOEzZ1fSssL8cytQAc=,132,84,0.7424242424242424,2,sparse
7f73q332BKPBXaixasa4EkUb+pF6VAsLxNIg4506JJs=,206512,23314,0.7137987138761912,553,dense
ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,17257,5904,0.6413629251897781,100,medium
MfUX4BrIuFzJjm97tCQVisXbonyvtYtwCUJo6JpmoyU=,6814,1495,0.5246551218080423,136,medium
R81Sqc8LAYj8amTPwFRvoPgbGpdaZoQLNX0hTg0DMB4=,28564,5000,0.5970802408626242,223,dense
jXSXg7CfDboPEXlnqJTGuQOb0VIgOXCpaU/Sl+/m3n0=,4761,2160,0.7605545053560177,16,medium
rzRcsBurW8jbUhivGAdZozPksRAZ5xM898ohJEBg93g=,359,197,0.25348189415041783,1,sparse
xYDz4OEv0xsri1IpmXlrgMLJ848rgySf+39xWpq4DBI=,46750,7207,0.6881283422459893,159,dense
