skill_id,n_interactions,n_learners,avg_correct,n_questions,strata
1,1113,19,0.9739442946990117,352,dense
2,2283,19,0.5720543144984669,729,dense
3,881,19,0.5039727582292849,264,dense
4,1174,15,0.5425894378194208,385,dense
5,3557,19,0.8116390216474557,1114,dense
6,276,18,0.6666666666666666,93,dense
7,298,17,0.7718120805369127,137,dense
8,1279,15,0.9311962470680218,1128,dense
9,2671,15,0.863347061025833,2250,dense
10,1712,19,0.8148364485981309,567,dense
11,846,15,0.8522458628841607,759,dense
12,2294,15,0.8225806451612904,2003,dense
13,502,15,0.8366533864541833,455,dense
14,788,16,0.7119289340101523,201,dense
15,1003,16,0.8534396809571286,293,dense
16,1371,16,0.7972283005105762,456,dense
17,694,16,1.0,239,dense
18,228,18,0.6535087719298246,81,dense
19,106,15,0.0,86,medium
20,2292,19,0.587696335078534,806,dense
21,1183,17,0.5731191885038038,462,dense
22,154,16,0.44805194805194803,52,medium
23,711,15,0.8481012658227848,646,dense
24,42,14,0.6904761904761905,40,sparse
25,209,14,0.6746411483253588,63,dense
26,902,15,0.9168514412416852,838,dense
27,491,14,0.7942973523421588,413,dense
28,563,13,0.911190053285968,556,dense
29,488,14,0.5450819672131147,64,dense
30,676,14,0.834319526627219,595,dense
31,625,14,0.9008,557,dense
32,158,9,0.569620253164557,33,medium
33,137,10,0.5766423357664233,39,medium
34,136,10,0.47058823529411764,39,medium
35,127,10,0.7244094488188977,41,medium
36,126,10,0.8095238095238095,41,medium
37,55,8,0.10909090909090909,15,sparse
38,174,11,0.8103448275862069,166,dense
39,103,9,0.8155339805825242,103,medium
40,147,13,0.8843537414965986,143,medium
41,172,11,0.9186046511627907,171,dense
42,299,14,0.6822742474916388,43,dense
43,34,8,0.7647058823529411,10,sparse
44,140,8,0.45714285714285713,14,medium
45,97,9,0.865979381443299,26,medium
46,142,11,0.4014084507042254,53,medium
47,364,16,0.5357142857142857,196,dense
48,223,8,0.6502242152466368,71,dense
49,16,7,0.0,16,sparse
50,87,8,0.7126436781609196,18,medium
51,377,9,0.6259946949602122,263,dense
52,252,8,0.8214285714285714,251,dense
53,154,8,0.7012987012987013,20,medium
54,115,8,0.591304347826087,12,medium
55,161,9,0.9565217391304348,161,medium
56,12,5,0.5833333333333334,11,sparse
57,20,6,0.6,18,sparse
58,27,10,0.5555555555555556,12,sparse
59,133,10,0.7443609022556391,91,medium
60,121,14,0.47107438016528924,67,medium
61,192,8,0.8020833333333334,48,dense
62,53,6,0.09433962264150944,14,sparse
63,63,6,0.19047619047619047,16,medium
64,57,5,0.5964912280701754,34,medium
65,10,3,0.4,8,sparse
66,25,5,0.68,9,sparse
67,171,5,0.5555555555555556,78,medium
68,38,5,0.39473684210526316,12,sparse
69,15,5,0.4,6,sparse
70,44,5,0.38636363636363635,13,sparse
71,25,5,0.72,20,sparse
72,44,5,0.29545454545454547,13,sparse
73,14,5,0.2857142857142857,4,sparse
74,38,5,0.2894736842105263,12,sparse
75,81,5,0.4074074074074074,36,medium
76,66,5,0.5,30,medium
77,25,5,0.32,10,sparse
78,35,5,0.5428571428571428,11,sparse
79,25,5,0.4,7,sparse
80,13,5,0.23076923076923078,5,sparse
81,95,5,0.49473684210526314,21,medium
82,16,4,0.625,7,sparse
83,53,6,0.33962264150943394,14,sparse
84,149,6,0.8322147651006712,46,medium
85,253,6,0.6403162055335968,85,dense
86,91,6,0.6263736263736264,28,medium
87,158,6,0.8291139240506329,48,medium
88,68,4,0.5588235294117647,24,medium
89,72,4,0.7083333333333334,34,medium
90,69,4,0.7391304347826086,33,medium
91,65,4,0.8,32,medium
92,131,4,0.7022900763358778,92,medium
93,11,11,0.5454545454545454,1,sparse
94,15,4,0.13333333333333333,6,sparse
95,9,4,0.5555555555555556,6,sparse
96,74,1,0.9324324324324325,73,medium
97,74,1,0.9864864864864865,73,medium
98,73,1,0.9863013698630136,72,medium
99,32,1,0.9375,32,sparse
100,32,1,0.875,32,sparse
101,25,1,0.96,25,sparse
102,25,1,0.84,25,sparse
103,43,1,0.7674418604651163,41,sparse
104,42,1,0.5476190476190477,41,sparse
105,19,1,0.8947368421052632,19,sparse
106,19,1,0.6842105263157895,19,sparse
107,13,4,0.6923076923076923,12,sparse
109,2,2,0.0,2,sparse
