dataset,fold_id,src_skill_id,dst_skill_id,relation_type,directed,weight,support_count,source_split,source_fold,support_source,support_interaction_ids_hash,support_question_ids_hash,construction_method,threshold,confidence,created_at
kdd2010,0,2,3,E_sim,False,0.21334681496461072,211,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.366346
kdd2010,0,2,4,E_sim,False,0.45464135021097046,431,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.366346
kdd2010,0,2,6,E_sim,False,0.11758118701007839,105,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.366346
kdd2010,0,2,7,E_sim,False,0.12927350427350429,121,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.366346
kdd2010,0,2,14,E_sim,False,0.14506172839506173,141,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.367339
kdd2010,0,2,20,E_sim,False,0.3267543859649123,447,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.367339
kdd2010,0,2,47,E_sim,False,0.14591836734693878,143,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.368337
kdd2010,0,3,4,E_sim,False,0.1927536231884058,133,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.369331
kdd2010,0,3,20,E_sim,False,0.1766355140186916,189,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.370922
kdd2010,0,3,21,E_sim,False,0.14507772020725387,112,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.370922
kdd2010,0,4,6,E_sim,False,0.1564245810055866,84,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.371957
kdd2010,0,4,14,E_sim,False,0.1832797427652733,114,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.372951
kdd2010,0,7,20,E_sim,False,0.1353001017293998,133,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.383477
kdd2010,0,8,9,E_sim,False,0.4944852941176471,1614,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.384475
kdd2010,0,9,23,E_sim,False,0.2962622549019608,967,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.392459
kdd2010,0,11,27,E_sim,False,0.17150063051702397,272,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.402087
kdd2010,0,12,13,E_sim,False,0.23878536922015184,692,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.405081
kdd2010,0,14,20,E_sim,False,0.11512844909609896,121,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.414530
kdd2010,0,14,21,E_sim,False,0.13532763532763534,95,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.414530
kdd2010,0,20,21,E_sim,False,0.4885799404170804,492,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.423023
kdd2010,0,20,47,E_sim,False,0.20121951219512196,198,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.424020
kdd2010,0,21,47,E_sim,False,0.14468085106382977,102,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.426015
kdd2010,0,21,60,E_sim,False,0.1273996509598604,73,train,0,train,hash,hash,jaccard,0.1,1.0,2026-05-15T02:23:26.427013
