dataset,fold_id,src_skill_id,dst_skill_id,relation_type,directed,weight,support_count,source_split,source_fold,support_source,support_interaction_ids_hash,support_question_ids_hash,construction_method,threshold,confidence,created_at
kdd2010,0,93,7,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0.0,0.5,2026-05-15T02:23:26.243581
kdd2010,0,93,60,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0.0,0.5,2026-05-15T02:23:26.243581
kdd2010,0,93,47,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0.0,0.5,2026-05-15T02:23:26.243581
kdd2010,0,93,87,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0.0,0.5,2026-05-15T02:23:26.243581
kdd2010,0,93,83,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0.0,0.5,2026-05-15T02:23:26.243581
kdd2010,0,93,86,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0.0,0.5,2026-05-15T02:23:26.243581
kdd2010,0,93,89,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0.0,0.5,2026-05-15T02:23:26.243581
kdd2010,0,93,90,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0.0,0.5,2026-05-15T02:23:26.243581
kdd2010,0,93,91,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0.0,0.5,2026-05-15T02:23:26.243581
kdd2010,0,93,84,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0.0,0.5,2026-05-15T02:23:26.243581
kdd2010,0,93,52,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0.0,0.5,2026-05-15T02:23:26.243581
kdd2010,0,93,54,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0.0,0.5,2026-05-15T02:23:26.243581
kdd2010,0,93,55,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0.0,0.5,2026-05-15T02:23:26.243581
kdd2010,0,93,41,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0.0,0.5,2026-05-15T02:23:26.243581
kdd2010,0,93,6,E_pre,True,1.0,10,train,0,train,hash,hash,temporal_heuristic,0.0,0.5,2026-05-15T02:23:26.243581
