epoch,train_loss,valid_auc,valid_nll
1,0.6048,0.6543,0.5897
2,0.5874,0.6623,0.5853
3,0.5854,0.6655,0.5839
4,0.5843,0.6667,0.5831
5,0.5836,0.6668,0.583
6,0.5834,0.6674,0.5827
7,0.5829,0.6671,0.5829
8,0.5828,0.6676,0.5828
9,0.5825,0.6675,0.5828
10,0.5823,0.6678,0.5826
11,0.5821,0.668,0.5826
12,0.5821,0.6677,0.5828
13,0.5819,0.6681,0.5827
14,0.5818,0.6681,0.5829
15,0.5817,0.6681,0.5827
16,0.5818,0.668,0.5829
17,0.5816,0.668,0.583
18,0.5817,0.668,0.5828
19,0.5814,0.6677,0.5831
20,0.5813,0.6679,0.583
21,0.5811,0.6677,0.5831
