epoch,train_loss,valid_auc,valid_nll
1,0.6046,0.6566,0.589
2,0.5874,0.6614,0.5859
3,0.5854,0.6644,0.5844
4,0.5844,0.6653,0.584
5,0.584,0.6658,0.5837
6,0.5837,0.666,0.5835
7,0.5834,0.6663,0.5834
8,0.5832,0.6668,0.5832
9,0.5829,0.6669,0.583
10,0.5827,0.6666,0.5833
11,0.5826,0.6665,0.5833
12,0.5824,0.6671,0.583
13,0.5822,0.667,0.5831
14,0.5821,0.6674,0.583
15,0.5819,0.6672,0.5831
16,0.5819,0.667,0.5832
17,0.5818,0.6671,0.5832
18,0.5817,0.6669,0.5833
19,0.5815,0.6671,0.5833
20,0.5817,0.6671,0.5833
21,0.5813,0.6667,0.5835
22,0.5813,0.6669,0.5834
23,0.5813,0.6672,0.5834
24,0.5812,0.6666,0.5837
