epoch,train_loss,valid_auc,valid_nll
1,0.5981,0.6595,0.5869
2,0.5867,0.664,0.5845
3,0.5854,0.6651,0.5841
4,0.5848,0.6658,0.5841
5,0.5843,0.6663,0.5834
6,0.5838,0.6669,0.5832
7,0.5836,0.6673,0.5829
8,0.583,0.6676,0.5828
9,0.5828,0.6678,0.5827
10,0.5825,0.6677,0.5827
11,0.5824,0.6677,0.5827
12,0.5821,0.6679,0.5826
13,0.582,0.6677,0.5827
14,0.582,0.6677,0.5827
15,0.5818,0.6677,0.5827
16,0.5817,0.6674,0.5828
17,0.5817,0.6671,0.5831
18,0.5816,0.6674,0.583
19,0.5816,0.6663,0.5835
20,0.5815,0.6663,0.5837
21,0.5814,0.6665,0.5836
22,0.5813,0.667,0.5834
