dataset,fold,seed,backbone,candidate,test_auc,valid_auc
assist2012,0,42,bkt,no_graph,0.5517,0.561
assist2012,0,42,bkt,e_pre,0.5517,0.561
assist2012,0,42,bkt,e_pre_e_sim,0.5517,0.561
assist2012,0,42,bkt,full_lc_mrsg,0.5615,0.5685
assist2012,0,42,bkt,relation_gated_1,0.5616,0.5685
assist2012,0,42,bkt,relation_gated_2,0.5517,0.561
assist2012,0,42,bkt,val_selected_static,0.5615,0.5685
assist2012,0,42,bkt,relation_gated,0.5615,0.5685
assist2012,0,42,bkt,sparse_aware_relation_gated,0.5615,0.5685
assist2012,0,2024,bkt,no_graph,0.5517,0.561
assist2012,0,2024,bkt,e_pre,0.5517,0.561
assist2012,0,2024,bkt,e_pre_e_sim,0.5517,0.561
assist2012,0,2024,bkt,full_lc_mrsg,0.5615,0.5685
assist2012,0,2024,bkt,relation_gated_1,0.5616,0.5685
assist2012,0,2024,bkt,relation_gated_2,0.5517,0.561
assist2012,0,2024,bkt,val_selected_static,0.5615,0.5685
assist2012,0,2024,bkt,relation_gated,0.5615,0.5685
assist2012,0,2024,bkt,sparse_aware_relation_gated,0.5615,0.5685
assist2012,0,3407,bkt,no_graph,0.5517,0.561
assist2012,0,3407,bkt,e_pre,0.5517,0.561
assist2012,0,3407,bkt,e_pre_e_sim,0.5517,0.561
assist2012,0,3407,bkt,full_lc_mrsg,0.5615,0.5685
assist2012,0,3407,bkt,relation_gated_1,0.5616,0.5685
assist2012,0,3407,bkt,relation_gated_2,0.5517,0.561
assist2012,0,3407,bkt,val_selected_static,0.5615,0.5685
assist2012,0,3407,bkt,relation_gated,0.5615,0.5685
assist2012,0,3407,bkt,sparse_aware_relation_gated,0.5615,0.5685
assist2012,0,42,dkt,no_graph,0.6114,0.6143
assist2012,0,42,dkt,e_pre,0.6116,0.6161
assist2012,0,42,dkt,e_pre_e_sim,0.6125,0.6179
assist2012,0,42,dkt,full_lc_mrsg,0.6146,0.6157
assist2012,0,42,dkt,relation_gated_1,0.6112,0.6167
assist2012,0,42,dkt,relation_gated_2,0.6112,0.6149
assist2012,0,42,dkt,val_selected_static,0.6125,0.6179
assist2012,0,42,dkt,relation_gated,0.6125,0.6179
assist2012,0,42,dkt,sparse_aware_relation_gated,0.6188,0.6204
assist2012,0,2024,dkt,no_graph,0.6136,0.6195
assist2012,0,2024,dkt,e_pre,0.6156,0.616
assist2012,0,2024,dkt,e_pre_e_sim,0.6113,0.6147
assist2012,0,2024,dkt,full_lc_mrsg,0.6114,0.6132
assist2012,0,2024,dkt,relation_gated_1,0.6094,0.6122
assist2012,0,2024,dkt,relation_gated_2,0.61,0.6161
assist2012,0,2024,dkt,val_selected_static,0.6136,0.6195
